"Category","Topic","User Question","Tricky User Question","Expected Answer","Source","Priority","Confidence","Reason for Adding","Related Feedback / Experiment","Status","Notes for KB Team"
"Membership Pause","Using offers during a pause","Kann ich während meiner Pause noch trainieren / Angebote nutzen?","Ich will diesen Monat eigentlich nichts zahlen, aber vielleicht doch einmal schwimmen — geht das?","Technisch kannst du auch während der Pause einchecken — aber sobald du ein Angebot nutzt, wird die Pause AUFGEHOBEN und der Monatsbeitrag für diesen Monat abgebucht. Willst du wirklich pausieren, nutze in der Zeit keine Angebote.","Feedback2.docx (Tester-Korrektur)","High","High","KB says the opposite ('nicht nutzbar') — actively misleads users and was reproduced live.","Feedback issue #1; eval sample-028 area","Needs Update","Fix doc4 ('während der Pause nicht nutzbar') and doc5. This is the #1 wrong fact."
"Membership Pause","Splitting the 3 pause months","Muss ich die 3 Pausenmonate am Stück nehmen oder kann ich sie aufteilen?","Kann ich einen Monat im Sommer und zwei im Winter pausieren?","TBD — offiziell bestätigen. Aktuell nicht eindeutig dokumentiert; bis zur Klärung Kunden an info@sportnavi.de verweisen. NICHT als 'flexibel aufteilbar' zusichern.","FEEDBACK-ANALYSIS.md issue #8","High","Low","KB self-contradicts (one section 'not documented', another 'flexibel aufteilbar'); caused the persistent sample-028 failure.","Feedback issue #8; eval sample-028 (failed on baseline..v5)","Needs Update","Get the real rule from the business owner, then state it consistently in doc2/doc4/doc5."
"Membership Pause","Pause eligibility by tariff","In welchem Tarif kann ich pausieren?","Ich habe den günstigsten Tarif — kann ich trotzdem mal ein paar Monate aussetzen?","Beitragsfreie Pause nur im 4- und 5-Sterne-Tarif (bis zu 3 Kalendermonate/Jahr). Im 3-Sterne-Tarif ist keine Pause möglich.","KB doc2 §4; sportnavi.de/fuer-mitglieder/tarife/","Low","High","Frequently asked; keep consistent with tariff page.","Eval sample-040 (contradictory-input)","Already Covered","Confirm pause months limit is current."
"Membership Pause","Firmenfitness pause vs. Stilllegung","Kann ich meine Firmenfitness-Mitgliedschaft pausieren?","Ich bin über die Firma dabei und will 2 Monate aussetzen — geht das?","Im Firmenfitness-Tarif gibt es keine beitragsfreie Pause. Eine Stilllegung ist möglich, muss aber vom Arbeitgeber schriftlich per E-Mail veranlasst werden.","KB doc2 §8","Medium","High","Different rule than private pause; users conflate the two.","—","Already Covered","OK; ensure the pause-usage correction doesn't bleed into this."
"Cashback","Multi-visit / season tickets","Kann ich eine 10er-Karte oder ein Mehrfachticket für Cashback einreichen?","Ein Einzelticket kostet 3 €, aber die 10er-Karte ist günstiger — kann ich die einreichen, ist doch auch besser für euch?","Nein — erstattet werden nur EINZELTICKETS. Mehrfach-/Mehrtagestickets (z. B. 10er-Karte) können systembedingt nicht erstattet werden. Für Cashback bitte Einzeltickets kaufen und bei jedem Besuch einchecken.","Feedback2.docx (Tester-Korrektur)","High","High","KB wrongly endorses multi-tickets; real user scenario (Freibad).","Feedback issue #4","Needs Update","Rewrite doc4 cashback multi-ticket answer to single-tickets-only."
"Cashback","Maximum cashback amount","Gibt es eine maximale Cashback-Höhe pro Monat?","Wenn ich oft gehe, ist das Cashback irgendwann gedeckelt?","TBD — richtet sich nach Partnerkonditionen; ein allgemeines monatliches Maximum ist nicht dokumentiert. Bitte bestätigen, ob ein Cap existiert.","KB doc4 §6","Medium","Low","Likely asked by frequent users; currently undocumented.","—","Missing","Confirm whether any per-month or per-partner cap exists."
"Cashback","Cashback for Firmenfitness members","Kann ich als Firmenkunde Cashback nutzen?","Mein Beitrag läuft über den Arbeitgeber — kriege ich trotzdem Cashback?","Grundsätzlich ja. Da der Beitrag nicht direkt über dich läuft, an cashback@sportnavi.de melden, damit die Gutschrift korrekt verbucht wird.","KB doc4 §6","Low","High","Edge case, already covered.","—","Already Covered",""
"Firmenfitness","Employer vs. framework notice period","Welche Kündigungsfrist gilt bei Firmenfitness?","Mein Chef will den Vertrag kündigen — muss ich dann sofort raus?","Zwei getrennte Dinge: (1) Die individuelle Mitarbeitenden-Mitgliedschaft wird mit 2 Wochen zum Monatsende gekündigt — auch wenn der Arbeitgeber es veranlasst. (2) Der Firmenfitness-Rahmenvertrag (Unternehmen ↔ Sportnavi) hat 3 Kalendermonate zum Monatsende.","Feedback2.docx (Tester-Korrektur)","High","High","KB collapses both into 'Arbeitgeber = 3 Monate' — imprecise/misleading.","Feedback issue #2","Needs Update","Replace the 2-row notice table with the 3-case distinction in doc2/doc4/doc5."
"Firmenfitness","Only one model","Welche Firmenfitness-Modelle gibt es und was kosten sie?","Hängt der Preis vom gewählten Modell ab?","Es gibt genau EIN Firmenfitness-Modell (59,90 € brutto/Monat, Basis 4-Sterne). Der Preis variiert nicht nach 'gewähltem Modell'; abgerechnet werden nur die tatsächlich angemeldeten Mitgliedschaften.","Feedback2.docx (Tester-Korrektur)","Medium","High","Bot invented a 'chosen model' concept (hallucination).","Feedback issue #5","Needs Update","Add explicit 'one model' statement to prevent padding."
"Firmenfitness","Company price vs. private 4-star","Was kostet Firmenfitness pro Mitarbeitendem?","Warum ist Firmenfitness billiger als der 4-Sterne-Tarif?","59,90 € brutto/Monat pro Mitgliedschaft (Basis 4-Sterne). Der private 4-Sterne-Tarif kostet 74,90 € — der Firmenfitness-Preis ist der vergünstigte Unternehmenspreis.","KB doc2 §8; sportnavi.de/fuer-mitglieder/tarife/","Medium","Medium","Price gap (59,90 vs 74,90) can confuse; document why.","—","Needs Update","Confirm 59,90 € is current; note it's the subsidised corporate rate."
